,Gia du doan,Gia thuc,% sai lech
9815,76775.26187969117,71667.0,7.127774121549904
6520,76775.26187969117,71667.0,7.127774121549904
12346,120578.85755474392,112500.0,7.181206715327932
7013,44230.300569354644,41250.0,7.224971077223379
10240,80419.09263382619,75000.0,7.22545684510159
5890,76523.97997638427,82500.0,7.243660634685728
4186,60300.02144904836,56208.0,7.280140636650232
4940,94641.21554643083,102083.0,7.289935105325244
11633,77252.12507067848,83333.0,7.297079103502241
5720,75318.73579358752,81250.0,7.300017484815362
11296,111771.96677097002,104167.0,7.300744737748054
12844,57932.499855850125,62500.0,7.308000230639801
3141,93924.24529217325,87500.0,7.341994619626568
10663,87676.81685797949,81667.0,7.358929381487611
3628,121588.47646901816,131250.0,7.3611607855099725
6343,119948.4310926092,111667.0,7.416184810740148
9477,148518.2462879737,160417.0,7.41738949863561
9361,148518.2462879737,160417.0,7.41738949863561
5191,148518.2462879737,160417.0,7.41738949863561
1804,148518.2462879737,160417.0,7.41738949863561
1021,148518.2462879737,160417.0,7.41738949863561
2498,148518.2462879737,160417.0,7.41738949863561
8503,148518.2462879737,160417.0,7.41738949863561
7272,148518.2462879737,160417.0,7.41738949863561
954,148518.2462879737,160417.0,7.41738949863561
7124,148518.2462879737,160417.0,7.41738949863561
7723,148518.2462879737,160417.0,7.41738949863561
9895,148518.2462879737,160417.0,7.41738949863561
11518,148518.2462879737,160417.0,7.41738949863561
2651,148518.2462879737,160417.0,7.41738949863561
5338,148518.2462879737,160417.0,7.41738949863561
11301,148518.2462879737,160417.0,7.41738949863561
4231,148518.2462879737,160417.0,7.41738949863561
12237,148518.2462879737,160417.0,7.41738949863561
11350,148518.2462879737,160417.0,7.41738949863561
11824,148518.2462879737,160417.0,7.41738949863561
9542,148518.2462879737,160417.0,7.41738949863561
3709,148518.2462879737,160417.0,7.41738949863561
10903,148518.2462879737,160417.0,7.41738949863561
1364,148518.2462879737,160417.0,7.41738949863561
10844,148518.2462879737,160417.0,7.41738949863561
1424,148518.2462879737,160417.0,7.41738949863561
4422,148518.2462879737,160417.0,7.41738949863561
3839,148518.2462879737,160417.0,7.41738949863561
7307,30663.52761514437,33125.0,7.430860029752849
9880,80614.71790234865,75000.0,7.486290536464871
8044,80614.71790234865,75000.0,7.486290536464871
6392,80614.71790234865,75000.0,7.486290536464871
5452,80614.71790234865,75000.0,7.486290536464871
9834,80614.71790234865,75000.0,7.486290536464871
8782,80614.71790234865,75000.0,7.486290536464871
1460,80614.71790234865,75000.0,7.486290536464871
3338,80614.71790234865,75000.0,7.486290536464871
6470,80614.71790234865,75000.0,7.486290536464871
8144,80614.71790234865,75000.0,7.486290536464871
7895,80614.71790234865,75000.0,7.486290536464871
1231,80614.71790234865,75000.0,7.486290536464871
11374,80614.71790234865,75000.0,7.486290536464871
12783,80614.71790234865,75000.0,7.486290536464871
2748,80614.71790234865,75000.0,7.486290536464871
1935,80614.71790234865,75000.0,7.486290536464871
8736,80614.71790234865,75000.0,7.486290536464871
3720,80614.71790234865,75000.0,7.486290536464871
9129,80614.71790234865,75000.0,7.486290536464871
1202,80614.71790234865,75000.0,7.486290536464871
8998,80614.71790234865,75000.0,7.486290536464871
4815,80614.71790234865,75000.0,7.486290536464871
9486,80614.71790234865,75000.0,7.486290536464871
10168,80614.71790234865,75000.0,7.486290536464871
2225,80614.71790234865,75000.0,7.486290536464871
3093,80614.71790234865,75000.0,7.486290536464871
4253,80614.71790234865,75000.0,7.486290536464871
9814,80614.71790234865,75000.0,7.486290536464871
9648,80614.71790234865,75000.0,7.486290536464871
5372,80614.71790234865,75000.0,7.486290536464871
12503,80614.71790234865,75000.0,7.486290536464871
2639,80614.71790234865,75000.0,7.486290536464871
2138,80614.71790234865,75000.0,7.486290536464871
6248,80614.71790234865,75000.0,7.486290536464871
3184,154125.015507737,166667.0,7.5251756450065095
11586,116501.74758036532,108333.0,7.54040558312363
5118,107861.1874304521,116667.0,7.54781778013311
8143,82017.11311288134,76250.0,7.563427033287007
8802,157909.4504589386,170833.0,7.565019370415198
5392,146310.76597262383,158333.0,7.593005897302625
7322,80702.28031928581,75000.0,7.603040425714417
216,52775.37108071736,57125.0,7.614230055637002
9553,132307.3690387096,122917.0,7.639601551217175
7216,92357.75131962985,100000.0,7.642248680370146
7519,133739.8896396252,124208.0,7.67413503125822
12015,165405.73340983316,179167.0,7.680692644385872
9760,199974.42145786958,216667.0,7.704255166744551
2825,102334.64573921652,95000.0,7.720679725491071
9605,188525.59260882362,175000.0,7.728910062184924
1981,105963.96213172564,98333.0,7.7603267791338
2040,51468.93652939772,55833.0,7.816279746032423
10985,57606.3787121717,62500.0,7.829794060525275
5301,203534.19863145216,220833.0,7.833431311691566
10785,203534.19863145216,220833.0,7.833431311691566
6656,203534.19863145216,220833.0,7.833431311691566
6078,203534.19863145216,220833.0,7.833431311691566
3269,203534.19863145216,220833.0,7.833431311691566
3160,203534.19863145216,220833.0,7.833431311691566
4296,203534.19863145216,220833.0,7.833431311691566
1611,203534.19863145216,220833.0,7.833431311691566
10418,203534.19863145216,220833.0,7.833431311691566
8922,203534.19863145216,220833.0,7.833431311691566
8737,203534.19863145216,220833.0,7.833431311691566
4857,203534.19863145216,220833.0,7.833431311691566
9552,203534.19863145216,220833.0,7.833431311691566
1116,203534.19863145216,220833.0,7.833431311691566
9130,203534.19863145216,220833.0,7.833431311691566
5279,203534.19863145216,220833.0,7.833431311691566
6213,203534.19863145216,220833.0,7.833431311691566
1385,203534.19863145216,220833.0,7.833431311691566
7995,203534.19863145216,220833.0,7.833431311691566
7626,203534.19863145216,220833.0,7.833431311691566
3534,203534.19863145216,220833.0,7.833431311691566
5499,203534.19863145216,220833.0,7.833431311691566
1815,203534.19863145216,220833.0,7.833431311691566
8282,203534.19863145216,220833.0,7.833431311691566
1230,203534.19863145216,220833.0,7.833431311691566
10169,203534.19863145216,220833.0,7.833431311691566
10933,203534.19863145216,220833.0,7.833431311691566
8483,203534.19863145216,220833.0,7.833431311691566
8005,203534.19863145216,220833.0,7.833431311691566
2304,203534.19863145216,220833.0,7.833431311691566
10497,203534.19863145216,220833.0,7.833431311691566
2088,203534.19863145216,220833.0,7.833431311691566
5773,203534.19863145216,220833.0,7.833431311691566
7368,203534.19863145216,220833.0,7.833431311691566
6544,84468.69207247687,91667.0,7.852671002130678
6191,88306.89987642411,95833.0,7.853349184076349
2913,83137.39515426065,77083.0,7.854384435297863
11830,112353.57262784663,104167.0,7.859084573662131
3807,164129.39472056477,152083.0,7.920934437487931
3951,94209.88608918201,87292.0,7.9249943742634015
1359,153453.41724411206,166667.0,7.928133797265168
3050,191189.10995531746,177083.0,7.9658182633665895
3418,85473.64339466621,79167.0,7.9662528511453194
12557,113867.53574050452,123750.0,7.985829704642811
7635,130303.58366098361,141667.0,8.02121618938524
9184,171977.9767862194,159167.0,8.048764370893085
11246,76117.32488182846,70417.0,8.095097606868316
3461,147427.5429634633,160417.0,8.097307041358903
3353,141668.35892947705,154167.0,8.10720911123843
11599,83785.31272002721,77500.0,8.110080929067372
11704,57423.745831906475,62500.0,8.12200666894964
9145,88017.4561491286,95833.0,8.155378471790927
10265,88017.4561491286,95833.0,8.155378471790927
6161,80335.03905327372,87500.0,8.188526796258603
11147,92414.29436445438,85417.0,8.19192240942012
11533,131942.72804821725,143750.0,8.213754401240173
639,56388.18624858458,52083.0,8.266010499749587
8456,72193.81149277369,66667.0,8.290175788281594
11583,126100.38763700907,137500.0,8.290627173084312
8214,94790.39007422123,87500.0,8.331874370538547
3144,48863.757198633524,53333.0,8.379882626828559
9107,133611.1887353743,145833.0,8.380689737319875
9051,91937.46448764349,100417.0,8.44432268675275
217,88112.52282661188,81250.0,8.44618194044539
10524,74562.21949601205,68750.0,8.454137448744806
9979,76826.70821157545,70833.0,8.461745530438419
9023,91937.46448764349,100458.0,8.481689375018924
2718,140140.54654685344,129167.0,8.495627015300688
920,85915.06572920295,79167.0,8.523836610207473
1381,158273.1904602556,145833.0,8.530435813742844
7646,85926.10835446541,79167.0,8.537785130755756
10989,118109.55868012786,129167.0,8.560577639700655
6305,106663.92781278699,116667.0,8.574037377504357
1484,139034.14708961628,152083.0,8.580086472770606
11261,117664.96307996339,108333.0,8.6141462711855
8449,114147.21837542429,125000.0,8.68222529966057
7703,213062.63816335401,233333.0,8.68731034043448
